ID,site_name,capacity_mw,turbine_count,unit_mw,manufacturer,model_string,rotor_diameter_m,hub_height_m,commissioning_year,confidence,source_url,note
P.EOLICO MATACO 3 PICOS,P.EOLICO MATACO 3 PICOS,200.0,51,4.0,Vestas,V136 (24x V136-4.2 + 27x V136-3.8),136,90,2020,secondary,https://www.thewindpower.net/windfarm_en_28320_luz-de-tres-picos.php,"PCR Luz de Tres Picos; San Jorge + El Mataco sub-parks; 51x~4.0=203MW reconciles with 200"
P.EOLICO LEVALLE II,P.EOLICO LEVALLE II,155.0,15,6.2,Vestas,EnVentus V162-6.2,162,125,2025,secondary,https://www.ypfluz.com/NuestrosActivos/Home,"YPF Luz; phase II ~93MW; 155 is whole-complex nameplate shared with Levalle I (complex=25x V162-6.2)"
P.EOLICO LEVALLE,P.EOLICO LEVALLE,155.0,10,6.2,Vestas,EnVentus V162-6.2,162,125,2025,secondary,https://www.ypfluz.com/NuestrosActivos/Home,"YPF Luz (not Central Puerto); phase I ~62MW; input 155 is whole-complex nameplate placeholder"
Puerto Madryn II,Puerto Madryn II,151.0,42,3.45,Vestas,V126-3.45,126,87,2019,secondary,https://www.genneia.com.ar/novedad-interior.php?novedad=80-madryn:-comienza-a-operar-el-parque-e%C3%B3lico-m%C3%A1s-grande-del-pa%C3%ADs,"Genneia Parque Madryn (NOT Aluar); whole site 62x V126-3.45=220MW; phase II ~150MW/42t; input 151 placeholder"
Puerto Madryn I,Puerto Madryn I,151.0,20,3.45,Vestas,V126-3.45,126,87,2018,secondary,https://reve.aeeolica.org/2019/09/26/eolica-en-argentina-comienza-a-operar-el-parque-eolico-mas-grande/,"Genneia; phase I ~70MW/20t of the 220MW 62-turbine site; input 151 duplicated placeholder"
Parque eólico Los TEROS II,Parque eólico Los TEROS II,123.0,13,4.0,Vestas,V136 (4.0 MW mode),136,110,2021,secondary,https://www.ypfluz.com/Activo/LosTeros,"YPF Luz; phase II real ~52MW/13t; input 123 duplicates phase-I nameplate (mismatch)"
Parque Eólico LOS TEROS,Parque Eólico LOS TEROS,123.0,32,3.83,Vestas,V136 (3.8 MW mode),136,110,2020,secondary,https://www.ypfluz.com/Activo/LosTeros,"YPF Luz, Azul BA; phase I 123MW; 32x3.83=122.6 reconciles"
P.EOLICO CAÑADON LEÓN REN 2,P.EOLICO CAÑADON LEÓN REN 2,122.0,24,4.2,Vestas,V117-4.2,117,85,2021,secondary,https://www.energias-renovables.com/eolica/santa-cruz-entra-en-operaciones-canadon-leon-20211226,"YPF Luz; whole farm 29t/123MW; REN2 tranche ~101MW; one summary claimed GE, specs fit V117-4.2"
P.EOLICO CAÑADON LEÓN MATER,P.EOLICO CAÑADON LEÓN MATER,122.0,5,4.2,Vestas,V117-4.2,117,85,2021,secondary,https://www.ypfluz.com/Activo/CanadonLeon,"MATER tranche ~21MW of the same 29-turbine site; input 122 duplicated placeholder"
P.EOLICO DE LA BUENA VENTURA,P.EOLICO DE LA BUENA VENTURA,103.0,24,4.3,Vestas,V150-4.2 (4.3 MW mode),150,105,2023,confirmed,https://www.techint.com/es/noticias/2024/el-parque-eolico-buena-ventura-ya-opera-a-plena-capacidad,"Tenaris/Techint, A. Gonzáles Chaves; 24x4.3=103.2 exact"
