ID,site_name,region,capacity_mw,unit_count_gi,unit_mw_gi,manufacturer,model_string,rotor_diameter_m,turbine_count_src,unit_mw_src,confidence,source_url,note,p_density_wm2,flags,unit_mw_eff
ARWF1,Ararat Wind Farm,VIC1,240.0,75.0,3.2,GE,GE 3.2-103,103.0,75.0,,manufacturer-confirmed,https://www.ge.com/news/reports/75-turbines-lead-wind-parade,,384.0,,3.2
BALDHWF1,Bald Hills Wind Farm,VIC1,106.6,52.0,2.05,Senvion,MM92,92.5,52.0,2.05,secondary-source,https://en.wikipedia.org/wiki/Bald_Hills_Wind_Farm,,305.1,,2.05
BOCORWF1,Boco Rock Wind Farm,NSW1,113.0,67.0,1.6,GE,GE 1.7-100,100.0,67.0,1.7,secondary-source,https://en.wikipedia.org/wiki/Boco_Rock_Wind_Farm,input unit_mw 1.6 vs Wikipedia 1.7 MW (67x1.7=113.9; AEMO capacity 113),203.7,,1.6
BODWF1,Bodangora Wind Farm,NSW1,113.2,33.0,3.43,GE,GE 3.4-130,130.0,33.0,3.43,secondary-source,https://en.wikipedia.org/wiki/Bodangora_Wind_Farm,,258.4,,3.43
BRYB1WF1,Berrybank Wind Farm,VIC1,180.6,43.0,4.2,,,,,,default-fallback,,no public source found,,,4.2
BRYB2WF2,Berrybank Wind Farm,VIC1,109.2,26.0,4.2,,,,,,default-fallback,,no public source found,,,4.2
BULGANA1,Bulgana Green Power Hub - Wind Farm,VIC1,200.8,55.0,3.65,Siemens Gamesa,,,56.0,,secondary-source-manufacturer-only,https://en.wikipedia.org/wiki/Bulgana_Green_Power_Hub,manufacturer only (EPC + 25yr maintenance by Siemens Gamesa); model not stated; Wikipedia 56 turbines/194 MW vs AEMO 55 units/200.8 MW,,,3.65
CAPTL_WF,Capital Wind Farm,NSW1,140.7,67.0,2.1,Suzlon,S88-2.1,88.0,67.0,2.1,secondary-source,https://en.wikipedia.org/wiki/Capital_Wind_Farm,,345.3,,2.1
CATHROCK,Cathedral Rocks,SA1,62.0,31.0,2.0,Vestas,,80.0,33.0,2.0,secondary-source,https://en.wikipedia.org/wiki/Cathedral_Rocks_Wind_Farm,"model not stated; infobox: Vestas, rotor 80 m, hub 60 m (implies V80-2.0); Wikipedia 33 units vs AEMO 31",397.9,,2.0
CBWF1,Coonooer Bridge Wind Farm,VIC1,19.8,6.0,3.3,Vestas,V117,117.0,6.0,,secondary-source,https://en.wikipedia.org/wiki/Coonooer_Bridge_Wind_Farm,unit rating not stated on Wikipedia; AEMO 3.3 MW consistent with V117-3.3,306.9,,3.3
CHALLHWF,Challicum Hills,VIC1,52.5,35.0,1.5,NEG Micon,NM64/1500,64.0,35.0,1.5,secondary-source,https://en.wikipedia.org/wiki/Challicum_Hills_Wind_Farm,,466.3,,1.5
CHYTWF1,Cherry Tree Wind Farm,VIC1,57.6,16.0,3.6,Vestas,V136,136.0,16.0,3.6,secondary-source,https://en.wikipedia.org/wiki/Cherry_Tree_Wind_Farm,,247.8,,3.6
