ID,site_name,capacity_mw,turbine_count,unit_mw,manufacturer,model_string,rotor_diameter_m,hub_height_m,commissioning_year,confidence,source_url,note
2138,PE HORIZONTE NORTE,430.0,70.0,5.83,Enercon,Enercon E-160 EP5,160.0,120.0,2024,confirmed,https://www.power-technology.com/projects/horizonte-wind-farm-chile/,"North section of Colbun Horizonte (816 MW, 140x E-160 EP5); 70 turbines in north area. Hub inferred (~120m; one source cited 95m steel tower). 70x5.83=408 vs 430."
2379,PE HORIZONTE SUR,428.5,70.0,5.83,Enercon,Enercon E-160 EP5,160.0,120.0,2024,confirmed,https://www.power-technology.com/projects/horizonte-wind-farm-chile/,"South section of Colbun Horizonte (816 MW, 140x E-160 EP5); 70 turbines energised Jun 2024. 70x5.83=408 vs 428.5."
2170,PE KALLPA,359.0,57.0,6.0,Goldwind,Goldwind GW165/6000,165.0,110.0,2025,confirmed,https://www.enerdata.net/publications/daily-energy-news/engie-starts-operations-its-344-mw-kallpa-wind-project-chile.html,"Engie, formerly Lomas de Taltal. 57x6.0=342 documented vs input 359 (~5% high). Hub inferred."
1658,PE CABO LEONES II,217.6,49.0,4.44,Siemens Gamesa,Siemens Gamesa SG 145 (SG 5.0-145 platform),145.0,90.0,2020,secondary,https://www.thewindpower.net/windfarm_en_25097_cabo-leones-ii.php,"Sources cite 4.2-5.0 MW rating; 49 turbines. 49x4.44=217.6. Rotor 145 solid, hub 90."
365,PE SAN JUAN,202.9,56.0,3.62,Vestas,Vestas V117/3300,117.0,91.5,2016,secondary,https://www.thewindpower.net/windfarm_en_24114_san-juan.php,"Latin America Power. Nameplate V117-3.3 (56x3.3=184.8); input 202.9 implies uprate ~3.62. Rotor 117 solid, hub inferred."
636,PE CABO LEONES III,201.0,44.0,4.28,Siemens Gamesa,22x SG 3.4-132 + 22x SG 5.0-145,145.0,84.0,2021,secondary,https://www.power-technology.com/data-insights/power-plant-profile-cabo-leones-wind-farm-chile/,"MIXED farm: Phase IIIA 22x SG3.4-132 (rotor132, ~3.55MW) + Phase IIIB 22x SG5.0-145 (rotor145, 5.0MW), ~188 MW. Rotor listed = dominant IIIB 145; IIIA specific power differs (rotor 132)."
478,PE CABO LEONES,199.7,55.0,2.1,Gamesa,Gamesa G114/2100,114.0,80.0,2019,secondary,https://www.thewindpower.net/windfarm_en_23321_cabo-leones.php,Cabo Leones I: 55x G114-2.1=115.5 MW documented; input 199.7 far higher -- SEN grouping likely bundles other Cabo Leones units. Count/capacity UNRECONCILED. Rotor 114 solid.
1712,PE CERRO TIGRE,194.0,44.0,4.4,Vestas,Vestas V117-4.2 (uprated),117.0,87.5,2021,confirmed,https://www.vestas.com/en/media/company-news/2019/vestas-reinforces-its-leadership-in-chile-with-185-mw-o-c2986887,"Mainstream. 44x V117-4.2 nameplate=184.8; input 194 implies uprate ~4.4. Rotor 117, hub inferred."
544,PE SAN GABRIEL,192.2,61.0,3.15,Nordex Acciona,Acciona AW132/3000 (uprated 3.15),132.0,120.0,2019,confirmed,https://www.acciona.com/projects/san-gabriel-and-tolpan-sur-wind-farm,"61x3.15=192.15 reconciles exactly. Concrete tower, hub 120m confirmed. Rotor 132."
1691,PE TCHAMMA,183.8,41.0,4.5,Siemens Gamesa,Siemens Gamesa SG 4.5-145,145.0,125.0,2022,secondary,https://www.thewindpower.net/windfarm_en_23154_tchamma.php,"Mainstream Andes Renovables. Part1=35x4.5=157.5MW + Part2; input 183.8 implies ~41 turbines. Rotor 145 confirmed, hub inferred."
516,PE SARCO,178.7,50.0,3.57,Senvion,Senvion 3.4M114,114.0,,2020,secondary,https://www.thewindpower.net/windfarm_en_26815_sarco.php,Aela Energia. 50x3.4=170 MW nameplate; input 178.7 implies uprate ~3.57/unit. Rotor 114.
1995,PE ATACAMA,175.0,29.0,6.0,Nordex,Nordex N163/6.X,163.0,,2023,secondary,https://www.thewindpower.net/windfarm_en_1462_atacama.php,"Mainstream. thewindpower lists 29x N163/5.X uprated; 29x6.0=174 reconciles with 175. Freirina, Atacama."
1685,PE CALAMA,171.3,36.0,4.76,Siemens Gamesa,Siemens Gamesa SG 4.5-145,145.0,,2021,confirmed,https://www.thewindpower.net/windfarm_en_32622_calama.php,"Engie Vientos del Loa/Calama; 36x SG4.5-145 nameplate 162 MW, uprated to reach 171.3. Rotor 145."
1815,PE PUELCHE SUR,168.0,33.0,5.09,Nordex,Nordex Delta4000 (30x4.8 + 3x4.0),,,2022,secondary,https://www.power-technology.com/data-insights/power-plant-profile-puelche-sur-wind-farm-chile/,"Ibereolica/Copec. Nordex Delta4000; nameplate ~156 MW, input 168 implies uprating; exact rotor (N133/N149) unconfirmed - likely 149."
1819,PE LLANOS DEL VIENTO,168.0,32.0,5.25,Siemens Gamesa,Siemens Gamesa SG 5.0-145,145.0,,2022,confirmed,https://www.windpowermonthly.com/article/1809278/mainstream-begins-powering-160mw-wind-farm-chile,"Mainstream/Andes Renovables; 32x SG5.0-145 nameplate 160 MW, uprated ~5.25. Rotor 145."
1753,PE RENAICO II,152.6,32.0,4.77,Goldwind,Goldwind GW155/4500,155.0,130.0,2021,confirmed,https://www.thewindpower.net/windfarm_en_32705_renaico-ii.php,"Enel; 32x GW155/4500 nameplate 144 MW, uprated ~4.77; hub 130 m. Rotor 155."
1707,PE MALLECO NORTE,144.8,42.0,3.45,Vestas,Vestas V136/3450,136.0,,2021,secondary,https://www.thewindpower.net/windfarm_en_32652_malleco.php,"Parcel of 77-turbine Malleco (WPD/CJR); model confirmed, count inferred 42x3.45=144.9. Norte+Sur counts (83) exceed published 77 total."
1706,PE MALLECO SUR,141.9,41.0,3.45,Vestas,Vestas V136/3450,136.0,,2021,secondary,https://www.thewindpower.net/windfarm_en_32652_malleco.php,Parcel of 77-turbine Malleco; count inferred 41x3.45=141.5. Rotor 136.
512,PE AURORA,135.5,43.0,3.15,Senvion,Senvion 3.0M122,122.0,,2019,confirmed,https://www.thewindpower.net/windfarm_en_26812_aurora-(cl).php,"Aela Energia (Mainstream/Actis); 43x3.0M122 nameplate 129 MW, input 135.5 implies uprate ~3.15. Rotor 122."
454,PE SIERRA GORDA ESTE,123.2,56.0,2.2,Siemens Gamesa,Gamesa G114-2.0 (uprated 2.2),114.0,,2016,confirmed,https://www.enel.cl/en/meet-enel/our-power-plants/sierra-gorda-este-wind-farm.html,"Enel; 56x G114 nameplate 112 MW (2.0), uprated to 2.2 gives 123.2 exactly. Rotor 114."
276,PE EL ARRAYAN,120.8,50.0,2.42,Siemens,Siemens SWT-2.3-101,101.0,,2014,confirmed,https://www.thewindpower.net/windfarm_en_21672_el-arrayan.php,"Pattern Energy/Antofagasta Minerals; 50x SWT-2.3-101 nameplate 115 MW, input 120.8 implies uprate ~2.42. Rotor 101."
1757,PE LOS OLMOS,115.9,23.0,4.8,Nordex,Nordex N149/4800 TS145,149.0,145.0,2022,confirmed,https://www.aesandes.com/en/blog/aes-chile-puts-operation-los-olmos-wind-farm,"AES Andes (not WPD); 23x N149/4800 nameplate 110.4 MW, input 115.9 implies uprate ~5.0 or 24th turbine; hub 145 m. Rotor 149."
318,PE LOS CURUROS,115.1,57.0,1.92,Vestas,Vestas V100 (22x V100/1800 + 35x V100/2000),100.0,,2014,secondary,https://www.thewindpower.net/windfarm_en_21568_los-cururos.php,"Two phases: 22x V100-1.8 (39.6MW) + 35x V100-2.0 (70MW) = 109.6MW (4.8% below 115.1). EPM/Eolic Partners, Coquimbo. Rotor 100."
2122,PE LA CABANA,113.2,22.0,4.8,Goldwind,Goldwind GW155/4800,155.0,,2024,secondary,https://www.power-technology.com/data-insights/power-plant-profile-la-cabana-wind-farm-chile/,"Enel Green Power, Angol Araucania; 22x GW155-4.8=105.6MW + 34.3MW BESS. 105.6 is 6.7% below stated 113.2 - does NOT reconcile. Rotor 155."
283,PE TALTAL,104.0,33.0,3.15,Vestas,Vestas V112/3000 (uprated 3.15),112.0,,2014,confirmed,https://en.wikipedia.org/wiki/Taltal_Wind_Farm,"Enel Green Power, Antofagasta; nominal 3.0MW uprated to 3.15 -> 33x3.15=103.95 ~ 104. Rotor 112."
