gem_phase_id,country,project_name,phase_name,capacity_mw,start_year,rule,register,register_ids
G100000910409,FR,Blancfossé wind farm,--,10.0,2006,name,odre_registre_eolien_2026-09-25.csv sha256:4516279afa3a; fr_communes_centre_2026-09-25.json sha256:586e745d2bdd,eic:17W000000040747J
G100000910502,FR,Esnouveaux wind farm,--,10.0,2014,name+geo+commune_sum,odre_registre_eolien_2026-09-25.csv sha256:4516279afa3a; fr_communes_centre_2026-09-25.json sha256:586e745d2bdd,eic:17W000000041330A
G100000910647,FR,Laucourt wind farm,--,10.0,2009,name,odre_registre_eolien_2026-09-25.csv sha256:4516279afa3a; fr_communes_centre_2026-09-25.json sha256:586e745d2bdd,eic:17W0000015059474
G100000910680,FR,Lihus wind farm,2,10.0,2016,name+geo,odre_registre_eolien_2026-09-25.csv sha256:4516279afa3a; fr_communes_centre_2026-09-25.json sha256:586e745d2bdd,eic:17W000000051914F
G100000910727,FR,Montloué wind farm,--,10.0,2014,geo,odre_registre_eolien_2026-09-25.csv sha256:4516279afa3a; fr_communes_centre_2026-09-25.json sha256:586e745d2bdd,eic:17W000000048762K
G100000911331,FR,La Seauve wind farm,--,12.0,2020,name+geo+commune_sum,odre_registre_eolien_2026-09-25.csv sha256:4516279afa3a; fr_communes_centre_2026-09-25.json sha256:586e745d2bdd,eic:17W000000998991N
G100000911346,FR,Naives-Rosieres wind farm,--,12.0,2008,name+commune_sum,odre_registre_eolien_2026-09-25.csv sha256:4516279afa3a; fr_communes_centre_2026-09-25.json sha256:586e745d2bdd,eic:17W000000050681H
G100000911361,FR,Saint Riquier wind farm,1,12.0,2011,geo,odre_registre_eolien_2026-09-25.csv sha256:4516279afa3a; fr_communes_centre_2026-09-25.json sha256:586e745d2bdd,eic:17W100P100P0748Q
G100000911459,FR,Baronville wind farm,--,12.0,2010,name+geo+commune_sum,odre_registre_eolien_2026-09-25.csv sha256:4516279afa3a; fr_communes_centre_2026-09-25.json sha256:586e745d2bdd,eic:17W000000397297C
G100000911512,FR,Breteuil wind farm,--,12.0,2009,name,odre_registre_eolien_2026-09-25.csv sha256:4516279afa3a; fr_communes_centre_2026-09-25.json sha256:586e745d2bdd,eic:17W000000047412F
G100000911535,FR,Chauvé wind farm,--,12.0,2013,name+geo+commune_sum,odre_registre_eolien_2026-09-25.csv sha256:4516279afa3a; fr_communes_centre_2026-09-25.json sha256:586e745d2bdd,eic:17W0000001463185
G100000911556,FR,D'Autremencourt wind farm,--,12.0,2008,name,odre_registre_eolien_2026-09-25.csv sha256:4516279afa3a; fr_communes_centre_2026-09-25.json sha256:586e745d2bdd,eic:17W0000016860689
G100000911758,FR,La Remise Des Bruyeres wind farm,--,12.0,2006,geo,odre_registre_eolien_2026-09-25.csv sha256:4516279afa3a; fr_communes_centre_2026-09-25.json sha256:586e745d2bdd,eic:17W000000153583W
G100000911916,FR,Plaine Du Moulin wind farm,--,12.0,2025,name+geo,odre_registre_eolien_2026-09-25.csv sha256:4516279afa3a; fr_communes_centre_2026-09-25.json sha256:586e745d2bdd,eic:17W000002378187A
G100000911968,FR,Rully wind farm,--,12.0,2010,name+geo+commune_sum,odre_registre_eolien_2026-09-25.csv sha256:4516279afa3a; fr_communes_centre_2026-09-25.json sha256:586e745d2bdd,eic:17W000000419370M
G100000911975,FR,Saint Riquier wind farm,2,12.0,2011,geo,odre_registre_eolien_2026-09-25.csv sha256:4516279afa3a; fr_communes_centre_2026-09-25.json sha256:586e745d2bdd,eic:17W100P100P0748Q
G100000911976,FR,Saint Riquier wind farm,4,12.0,2011,geo,odre_registre_eolien_2026-09-25.csv sha256:4516279afa3a; fr_communes_centre_2026-09-25.json sha256:586e745d2bdd,eic:17W100P100P0748Q
G100000912133,FR,Droupt-Saint-Basle wind farm,--,12.0,2010,name+commune_sum,odre_registre_eolien_2026-09-25.csv sha256:4516279afa3a; fr_communes_centre_2026-09-25.json sha256:586e745d2bdd,eic:17W000000051381O
G100000912134,FR,Droupt-Sainte-Marie wind farm,--,12.0,2010,name+commune_sum,odre_registre_eolien_2026-09-25.csv sha256:4516279afa3a; fr_communes_centre_2026-09-25.json sha256:586e745d2bdd,eic:17W0000000572444
G100000912149,FR,Quesnoy Sur Airaines wind farm,3,12.0,2013,commune_sum,odre_registre_eolien_2026-09-25.csv sha256:4516279afa3a; fr_communes_centre_2026-09-25.json sha256:586e745d2bdd,eic:17W000000046792L
G100000912156,FR,Le Moulin De Sehen wind farm,--,12.0,2015,name+geo+commune_sum,odre_registre_eolien_2026-09-25.csv sha256:4516279afa3a; fr_communes_centre_2026-09-25.json sha256:586e745d2bdd,eic:17W000000058976W
G100000912502,FR,Bois Du Frou wind farm,--,14.0,2021,name+commune_sum,odre_registre_eolien_2026-09-25.csv sha256:4516279afa3a; fr_communes_centre_2026-09-25.json sha256:586e745d2bdd,eic:17W0000023972845
G100000912728,FR,Leigné-Les-Bois wind farm,--,14.0,2020,name+geo+commune_sum,odre_registre_eolien_2026-09-25.csv sha256:4516279afa3a; fr_communes_centre_2026-09-25.json sha256:586e745d2bdd,eic:17W000002426301Y
G100000912913,FR,Autremencourt wind farm,4,14.0,2020,geo,odre_registre_eolien_2026-09-25.csv sha256:4516279afa3a; fr_communes_centre_2026-09-25.json sha256:586e745d2bdd,eic:17W000001010582Z
G100000913215,FR,Roussac wind farm,--,15.0,2021,commune_sum,odre_registre_eolien_2026-09-25.csv sha256:4516279afa3a; fr_communes_centre_2026-09-25.json sha256:586e745d2bdd,eic:17W000001023252Z|eic:17W000001031381S
G100000913643,FR,Sud Osartis wind farm,--,16.0,2022,geo,odre_registre_eolien_2026-09-25.csv sha256:4516279afa3a; fr_communes_centre_2026-09-25.json sha256:586e745d2bdd,eic:17W000001457314A
G100000913881,FR,Grande Combe wind farm,--,18.0,2019,name+commune_sum,odre_registre_eolien_2026-09-25.csv sha256:4516279afa3a; fr_communes_centre_2026-09-25.json sha256:586e745d2bdd,eic:17W000000949217E|eic:17W000000949399J
G100000916038,FR,Les Pierrots wind farm,--,26.0,2021,name,odre_registre_eolien_2026-09-25.csv sha256:4516279afa3a; fr_communes_centre_2026-09-25.json sha256:586e745d2bdd,eic:17W000001313926U|eic:17W0000013142923|eic:17W000001314315H
G100000916168,FR,Villes D'Oyses wind farm,--,28.0,2015,commune_sum,odre_registre_eolien_2026-09-25.csv sha256:4516279afa3a; fr_communes_centre_2026-09-25.json sha256:586e745d2bdd,eic:17W000000043259H|eic:17W000000422736Z
G100000916252,FR,Le Val D'Esnoms wind farm,--,28.0,2010,name,odre_registre_eolien_2026-09-25.csv sha256:4516279afa3a; fr_communes_centre_2026-09-25.json sha256:586e745d2bdd,eic:17W000000049743J|eic:17W000000050791A|eic:17W000000148681D
G100000917249,FR,Joyeux Developers wind farm,--,36.0,2017,commune_sum,odre_registre_eolien_2026-09-25.csv sha256:4516279afa3a; fr_communes_centre_2026-09-25.json sha256:586e745d2bdd,eic:17W000000387448N|eic:17W000000416650V|eic:17W0000004298421
G100000917262,FR,Les Vignottes wind farm,--,36.0,2015,name+commune_sum,odre_registre_eolien_2026-09-25.csv sha256:4516279afa3a; fr_communes_centre_2026-09-25.json sha256:586e745d2bdd,eic:17W000000046114S|eic:17W0000001537332|eic:17W000000429203Z
G100000917316,FR,Tulipes wind farm,--,36.0,2020,name,odre_registre_eolien_2026-09-25.csv sha256:4516279afa3a; fr_communes_centre_2026-09-25.json sha256:586e745d2bdd,eic:17W000001023698W
G100000918273,FR,Pelade wind farm,--,48.0,2020,name,odre_registre_eolien_2026-09-25.csv sha256:4516279afa3a; fr_communes_centre_2026-09-25.json sha256:586e745d2bdd,eic:17W000002040506P|eic:17W000002040507N|eic:17W000002040508L|eic:17W000002040509J
