model,capacity,height_min,height_max,date
Bonus.B23.150,150,30.0,60.0,1987-04-13
Bonus.B33.300,300,105.0,130.0,1991-12-15
Bonus.B37.450,450,58.7,58.7,1989-03-31
Bonus.B41.500,500,48.0,68.0,1994-12-14
Bonus.B44.600,600,44.0,54.0,1993-09-21
Bonus.B54.1000,1000,30.0,46.0,1992-06-01
Bonus.B62.1300,300,46.3,70.0,1994-12-21
Bonus.B82.2300,2300,55.0,80.0,2000-06-30
Enercon.E82.3000,3000,80.0,80.0,2020-12-17
EWT.DirectWind.52.900,900,35.0,65.0,2017-12-20
MHI.Vestas.V164.8400,8400,47.0,67.0,2018-12-23
NEG.Micon.M1500.500,500,61.2,80.0,1988-10-19
NEG.Micon.M1500.750,750,18.0,41.5,1995-09-16
NEG.Micon.NM48.750,750,46.0,46.0,1989-02-20
NEG.Micon.NM52.900,900,44.5,50.0,1999-03-24
NEG.Micon.NM60.1000,1000,85.3,85.3,2000-03-15
NEG.Micon.NM64c.1500,1500,127.5,127.5,1999-08-12
NEG.Micon.NM80.2750,2750,79.5,99.5,2000-08-28
Nordex.N27.150,150,35.0,40.0,1982-04-21
Nordex.N29.250,250,30.0,69.0,1988-06-27
Nordex.N43.600,600,45.0,60.0,1996-05-09
Nordex.N50.800,800,140.0,140.0,1999-06-09
Nordex.N60.1300,1300,18.0,42.3,1999-03-22
Nordex.N90.2300,2300,85.0,85.0,2003-05-28
Nordtank.NTK500,500,35.0,35.0,1982-01-21
Nordtank.NTK600,600,80.0,80.0,1996-12-20
Siemens.Gamesa.SG.10.0.193,10000,80.0,80.0,2020-02-27
Siemens.Gamesa.SG.4.5.145,4500,80.0,106.5,2020-07-17
Siemens.Gamesa.SG.6.0.154,6000,118.0,118.0,2013-06-10
Siemens.Gamesa.SG.7.0.154,7000,46.0,67.0,2018-02-17
Siemens.Gamesa.SG.8.0.167,8000,30.0,45.5,2021-05-02
Siemens.SWT.2.3.93,2300,72.0,89.5,2008-03-05
Siemens.SWT.3.0.101,3000,119.0,125.0,2010-12-20
Siemens.SWT.3.6.107,3600,45.0,95.0,2009-11-23
Siemens.SWT.3.6.120,3600,87.0,117.0,2010-07-08
Siemens.SWT.4.1.142,4100,42.0,59.0,2018-02-09
Siemens.SWT.4.3.130,4300,59.9,80.0,2020-02-08
Vestas.V100.2000,2000,35.0,50.0,2016-05-09
Vestas.V112.3000,3000,84.0,116.5,2009-12-02
Vestas.V112.3300,3300,80.0,90.0,2002-09-05
Vestas.V117.4000,4000,18.0,32.0,2014-06-20
Vestas.V136.4000,4000,35.0,55.0,2016-12-21
Vestas.V150.4000,4000,35.0,45.0,2020-12-18
Vestas.V164.8000,8000,35.0,45.0,2015-12-18
Vestas.V27.225,225,29.3,39.0,1980-01-03
Vestas.V29.225,225,17.0,35.0,1979-08-16
Vestas.V39.500,500,30.0,55.0,1993-01-20
Vestas.V42.600,600,45.0,50.0,1993-10-05
Vestas.V44.600,600,40.0,47.5,1995-12-21
Vestas.V47.660,660,25.0,31.5,1995-12-01
Vestas.V52.850,850,104.0,104.0,2000-05-26
Vestas.V66.1650,1650,89.0,89.0,2000-03-06
Vestas.V66.1750,1750,81.6,90.0,2002-11-23
Vestas.V80.2000,2000,45.0,50.0,1996-03-01
Vestas.V90.1800,1800,80.0,94.0,2009-07-08
Vestas.V90.2000,2000,15.6,36.0,2013-06-29
Vestas.V90.3000,3000,109.0,109.0,2002-12-03
Wind.World.W3700,500,39.0,60.0,1992-10-01
Wind.World.W4200,600,30.0,60.0,1987-12-28
