ID,year,month,reason
BANGOWF1,2020,12,pre-registration
BANGOWF2,2021,5,pre-registration
BRYB1WF1,2021,2,pre-registration
BRYB2WF2,2022,11,pre-registration
BULGANA1,2020,5,pre-registration
BULGANA1,2020,6,below-final-build
BULGANA1,2020,7,below-final-build
BULGANA1,2020,8,below-final-build
BULGANA1,2020,9,below-final-build
BULGANA1,2020,10,below-final-build
BULGANA1,2020,11,below-final-build
BULGANA1,2020,12,below-final-build
BULGANA1,2021,1,below-final-build
BULGANA1,2021,2,below-final-build
BULGANA1,2021,3,below-final-build
BULGANA1,2021,4,below-final-build
BULGANA1,2021,5,below-final-build
BULGANA1,2021,6,below-final-build
CHYTWF1,2020,4,pre-registration
COLWF01,2020,11,pre-registration
CRURWF1,2020,11,pre-registration
CTHLWF1,2020,1,pre-registration
DULAWF1,2023,4,pre-registration
DUNDWF1,2020,3,pre-registration
DUNDWF2,2020,3,pre-registration
DUNDWF3,2020,3,pre-registration
ELAINWF1,2020,4,pre-registration
FLYCRKWF,2023,8,pre-registration
GRANWF1,2019,12,pre-registration
GSWF1A,2023,7,pre-registration
GSWF1B1,2023,11,pre-registration
GULLRWF2,2020,5,pre-registration
KABANWF1,2022,9,pre-registration
KEPWF1,2021,6,pre-registration
LGAPWF1,2021,12,mid-month-change
LGAPWF2,2021,12,pre-registration
MOORAWF1,2020,11,pre-registration
MRTLSWF1,2022,6,pre-registration
MUWAWF2,2022,2,pre-registration
PAREPW1,2022,3,pre-registration
RYEPARK1,2023,8,pre-registration
STOCKYD1,2021,7,pre-registration
