ID,site_name,region,lon,lat,height,capacity,model,model_source,type,commissioning_date
ARWF1,Ararat Wind Farm,VIC1,143.0429,-37.2411,100.0,240000.0,BAR_HighSP_5.0MW_134.9,pdensity-class,onshore,2017-01-01
BALDHWF1,Bald Hills Wind Farm,VIC1,145.9499,-38.7488,100.0,106600.0,VestasV82_1.65MW_82,pdensity-class,onshore,2015-01-01
BOCORWF1,Boco Rock Wind Farm,NSW1,149.0863,-36.5905,100.0,113000.0,2023NREL_Bespoke_6MW_196,pdensity-class,onshore,2014-01-01
BODWF1,Bodangora Wind Farm,NSW1,149.0413,-32.4071,100.0,113190.0,IEA_Reference_3.4MW_130,pdensity-class,onshore,2019-01-01
BRYB1WF1,Berrybank Wind Farm,VIC1,143.5302,-37.9491,100.0,180600.0,IEC_Class2_Normalized_Industry_Composite,iec-class2-generic,onshore,2021-01-01
BRYB2WF2,Berrybank Wind Farm,VIC1,143.5302,-37.9491,100.0,109200.0,IEC_Class2_Normalized_Industry_Composite,iec-class2-generic,onshore,2021-01-01
BULGANA1,Bulgana Green Power Hub - Wind Farm,VIC1,142.9654,-37.0998,100.0,200750.0,IEC_Class2_Normalized_Industry_Composite,iec-class2-generic,onshore,2020-01-01
CAPTL_WF,Capital Wind Farm,NSW1,149.5246,-35.1608,100.0,140700.0,BAR_HighSP_5.0MW_134.9,pdensity-class,onshore,2010-01-01
CATHROCK,Cathedral Rocks,SA1,135.5772,-34.8484,100.0,62000.0,BAR_HighSP_5.0MW_134.9,pdensity-class,onshore,2007-01-01
CBWF1,Coonooer Bridge Wind Farm,VIC1,143.3604,-36.4288,100.0,19800.0,VestasV82_1.65MW_82,pdensity-class,onshore,2016-01-01
CHALLHWF,Challicum Hills,VIC1,143.1027,-37.3955,100.0,52500.0,BAR_HighSP_5.0MW_134.9,pdensity-class,onshore,2003-01-01
CHYTWF1,Cherry Tree Wind Farm,VIC1,145.2656,-37.1018,100.0,57600.0,IEA_Reference_3.4MW_130,pdensity-class,onshore,2020-01-01
CLEMGPWF,Clements Gap Wind Farm,SA1,138.1184,-33.5078,100.0,56700.0,IEC_Class2_Normalized_Industry_Composite,iec-class2-generic,onshore,2010-01-01
CLRKCWF1,Clarke Creek Wind Farm,QLD1,149.4532,-22.8505,100.0,346500.0,2023NREL_Bespoke_3MW_127.5,pdensity-class,onshore,2026-07-01
CLRKCWF2,Clarke Creek Wind Farm,QLD1,149.4532,-22.8505,100.0,103500.0,2023NREL_Bespoke_3MW_127.5,pdensity-class,onshore,2026-07-01
CNUNDAWF,Canunda,SA1,140.3512,-37.6847,100.0,46000.0,BAR_HighSP_5.0MW_134.9,pdensity-class,onshore,2005-01-01
COLWF01,Collector,NSW1,149.3867,-34.874,100.0,226800.0,BAR_HighSP_5.0MW_134.9,pdensity-class,onshore,2021-01-01
COOPGWF1,Coopers Gap Wind Farm,QLD1,151.47229999999996,-26.732600000000005,100.0,452890.0,IEA_Reference_3.4MW_130,pdensity-class,onshore,2020-01-01
CROWLWF1,Crowlands Wind Farm,VIC1,143.1537,-37.1216,100.0,79950.0,IEC_Class2_Normalized_Industry_Composite,iec-class2-generic,onshore,2020-01-01
CRURWF1,Crudine Ridge Wind Farm,NSW1,149.6759,-32.9348,100.0,141710.0,IEA_Reference_3.4MW_130,pdensity-class,onshore,2020-01-01
CTHLWF1,Cattle Hill Wind Farm,TAS1,146.6882,-42.1614,100.0,144000.0,2023NREL_Bespoke_6MW_196,pdensity-class,onshore,2020-01-01
CULLRGWF,Cullerin Range Wind Farm,NSW1,149.4009,-34.80669999999999,100.0,30000.0,BAR_HighSP_5.0MW_134.9,pdensity-class,onshore,2009-01-01
