ID,year,month,energy_mwh,n_intervals
ARWF1,2019,12,382.54166666666663,119
ARWF1,2020,1,54372.175026666664,8928
ARWF1,2020,2,46190.0083225,8352
ARWF1,2020,3,62210.77496999999,8928
ARWF1,2020,4,40423.616675,8640
ARWF1,2020,5,56286.54994916666,8928
ARWF1,2020,6,36006.2333675,8640
ARWF1,2020,7,37901.664006666666,8928
ARWF1,2020,8,50079.52511249999,8928
ARWF1,2020,9,56774.47909916666,8640
ARWF1,2020,10,52724.07499083333,8928
ARWF1,2020,11,42938.191685,8640
ARWF1,2020,12,53346.69223833333,8928
ARWF1,2021,1,60745.0809925,8928
ARWF1,2021,2,45106.30444083333,8064
ARWF1,2021,3,39876.8876925,8928
ARWF1,2021,4,31338.486611666664,8640
ARWF1,2021,5,43904.8173175,8928
ARWF1,2021,6,41637.251346666664,8640
ARWF1,2021,7,50814.92851583333,8928
ARWF1,2021,8,45896.959754166666,8928
ARWF1,2021,9,43386.77623583333,8640
ARWF1,2021,10,47940.5265675,8928
ARWF1,2021,11,50871.515999166666,8640
ARWF1,2021,12,51759.216315,8928
ARWF1,2022,1,48338.172491666664,8928
ARWF1,2022,2,39587.79229083333,8064
ARWF1,2022,3,48170.76853916667,8928
ARWF1,2022,4,32256.38427833333,8640
ARWF1,2022,5,26364.559336666665,8928
ARWF1,2022,6,47012.03268083333,8640
ARWF1,2022,7,41464.145091666665,8928
ARWF1,2022,8,37465.65466583333,8928
ARWF1,2022,9,37574.86664,8640
ARWF1,2022,10,27330.40913,8928
ARWF1,2022,11,29192.0863475,8640
ARWF1,2022,12,37052.70001083333,8928
ARWF1,2023,1,43688.96042333333,8928
ARWF1,2023,2,41790.34505166667,8064
ARWF1,2023,3,39027.437215833335,8928
ARWF1,2023,4,27930.7152975,8640
ARWF1,2023,5,28522.675029166665,8928
ARWF1,2023,6,38310.861367499994,8640
ARWF1,2023,7,39068.16544,8928
ARWF1,2023,8,30447.16675333333,8928
ARWF1,2023,9,34249.08094833333,8640
ARWF1,2023,10,41503.40217583333,8928
ARWF1,2023,11,51784.47000166666,8640
ARWF1,2023,12,49497.990325,8809
BALDHWF1,2019,12,52.1485,119
BALDHWF1,2020,1,24841.036678333334,8928
BALDHWF1,2020,2,28292.31158,8352
BALDHWF1,2020,3,20676.169495833332,8928
BALDHWF1,2020,4,27405.991483333335,8640
BALDHWF1,2020,5,24282.660985,8928
BALDHWF1,2020,6,5776.870250833334,8640
BALDHWF1,2020,7,18557.773261666665,8928
BALDHWF1,2020,8,37539.09933833333,8928
BALDHWF1,2020,9,32457.813239166666,8640
BALDHWF1,2020,10,33178.8956575,8928
BALDHWF1,2020,11,21442.233841666664,8640
BALDHWF1,2020,12,32950.05409666667,8928
BALDHWF1,2021,1,32347.837809999997,8928
BALDHWF1,2021,2,26432.63931583333,8064
BALDHWF1,2021,3,37644.15273333333,8928
BALDHWF1,2021,4,27322.832406666665,8640
BALDHWF1,2021,5,23976.308589166667,8928
BALDHWF1,2021,6,17876.480314166667,8640
BALDHWF1,2021,7,35430.917095,8928
BALDHWF1,2021,8,36582.529409166666,8928
BALDHWF1,2021,9,37300.807755,8640
BALDHWF1,2021,10,27084.477245,8928
BALDHWF1,2021,11,26249.402000833332,8640
BALDHWF1,2021,12,24960.811765,8928
BALDHWF1,2022,1,36098.33585249999,8928
BALDHWF1,2022,2,27902.77733333333,8064
BALDHWF1,2022,3,27306.898189166666,8928
BALDHWF1,2022,4,24429.585505833333,8640
BALDHWF1,2022,5,22099.705993333333,8928
BALDHWF1,2022,6,38066.197745,8640
BALDHWF1,2022,7,23781.581921666664,8928
BALDHWF1,2022,8,33885.80856,8928
BALDHWF1,2022,9,24522.86473083333,8640
BALDHWF1,2022,10,29483.9299925,8928
BALDHWF1,2022,11,31092.28320833333,8640
BALDHWF1,2022,12,30734.77808833333,8928
BALDHWF1,2023,1,26252.600932499998,8928
BALDHWF1,2023,2,25502.5902525,8064
BALDHWF1,2023,3,26544.4243225,8928
BALDHWF1,2023,4,18829.833791666668,8640
BALDHWF1,2023,5,37181.53136,8928
BALDHWF1,2023,6,37948.46848083333,8640
BALDHWF1,2023,7,39633.4305075,8928
BALDHWF1,2023,8,28987.890011666666,8928
BALDHWF1,2023,9,28760.0123575,8640
BALDHWF1,2023,10,33700.940684166664,8928
BALDHWF1,2023,11,25689.79041583333,8640
BALDHWF1,2023,12,27575.336679166667,8809
BANGOWF1,2020,12,0.0,5015
BANGOWF1,2021,1,83.42448666666668,8928
BANGOWF1,2021,2,160.40980833333333,8064
BANGOWF1,2021,3,180.09076416666667,8928
BANGOWF1,2021,4,106.24212666666666,8640
BANGOWF1,2021,5,301.59034916666667,8928
BANGOWF1,2021,6,344.0214683333333,8640
BANGOWF1,2021,7,1729.725163333333,8928
BANGOWF1,2021,8,2575.107010833333,8928
BANGOWF1,2021,9,3411.120205,8640
BANGOWF1,2021,10,12350.3290275,8928
BANGOWF1,2021,11,6277.233101666667,8640
BANGOWF1,2021,12,0.0,8928
BANGOWF1,2022,1,630.6111975,8928
BANGOWF1,2022,2,6156.480843333334,8064
BANGOWF1,2022,3,12979.205004166666,8928
BANGOWF1,2022,4,19915.32247833333,8640
BANGOWF1,2022,5,18605.460454166663,8928
BANGOWF1,2022,6,26448.566159166665,8640
BANGOWF1,2022,7,39010.86138166667,8928
BANGOWF1,2022,8,28089.2078825,8928
BANGOWF1,2022,9,24194.8366925,8640
BANGOWF1,2022,10,21196.26474833333,8928
BANGOWF1,2022,11,21393.898918333332,8640
BANGOWF1,2022,12,25946.893274166665,8928
BANGOWF1,2023,1,26131.804395833333,8928
BANGOWF1,2023,2,24417.886447499997,8064
BANGOWF1,2023,3,31960.15164333333,8928
BANGOWF1,2023,4,27269.013036666664,8640
BANGOWF1,2023,5,14288.248389166665,8928
BANGOWF1,2023,6,5619.597732499999,8640
BANGOWF1,2023,7,12891.115904166667,8928
BANGOWF1,2023,8,22521.896184999998,8928
BANGOWF1,2023,9,27000.311878333334,8640
BANGOWF1,2023,10,37598.40601583333,8928
BANGOWF1,2023,11,25924.621160833332,8640
BANGOWF1,2023,12,34517.39045583333,8809
BANGOWF2,2021,5,0.0,2135
BANGOWF2,2021,6,2.709408333333333,8640
BANGOWF2,2021,7,13.860599166666667,8928
BANGOWF2,2021,8,0.025013333333333332,8928
BANGOWF2,2021,9,3.1680616666666666,8640
BANGOWF2,2021,10,2.801493333333333,8928
BANGOWF2,2021,11,155.9163275,8640
BANGOWF2,2021,12,265.8082558333333,8928
BANGOWF2,2022,1,9.654486666666665,8928
BANGOWF2,2022,2,2046.8284233333331,8064
BANGOWF2,2022,3,3323.2645666666663,8928
BANGOWF2,2022,4,5229.828565,8640
BANGOWF2,2022,5,7519.882901666667,8928
BANGOWF2,2022,6,10363.900645833333,8640
BANGOWF2,2022,7,15738.398328333333,8928
BANGOWF2,2022,8,15190.2766925,8928
BANGOWF2,2022,9,14604.0966125,8640
BANGOWF2,2022,10,14879.208480833333,8928
BANGOWF2,2022,11,10357.551151666667,8640
BANGOWF2,2022,12,12022.536278333333,8928
BANGOWF2,2023,1,11574.357651666665,8928
BANGOWF2,2023,2,15471.694809999999,8064
BANGOWF2,2023,3,17729.650637500003,8928
BANGOWF2,2023,4,14702.073977499998,8640
BANGOWF2,2023,5,18861.340534166666,8928
BANGOWF2,2023,6,24466.87769583333,8640
BANGOWF2,2023,7,19461.7316225,8928
BANGOWF2,2023,8,12786.223840833332,8928
BANGOWF2,2023,9,15079.237779166666,8640
