postcode,lon,lat,lon_min,lon_max,lat_min,lat_max
1738,13.5539209,50.9308286,13.523792,13.5837789,50.920886,50.9486699
1762,13.5834367,50.8107286,13.5203991,13.6338427,50.7718307,50.847855
1920,14.2076629,51.2618271,13.9288431,14.2874099,51.17443,51.380762
1968,13.9693262,51.5050323,13.9032831,14.1423239,51.4717331,51.573652
1983,14.0015078,51.5976652,13.8662959,14.165439,51.5403778,51.6300599
2699,14.3424048,51.287854,14.254051,14.426262,51.2214121,51.355571
2763,14.7701227,50.9241386,14.6810239,14.8533641,50.820174,50.971356
2829,14.8909253,51.1752413,14.815096,15.042163,51.075015,51.3014031
2979,14.3908724,51.4960371,14.07376,14.5226399,51.410268,51.544505
3172,14.5690228,51.9475081,14.370589,14.7221171,51.813357,52.057667
3205,13.9005014,51.72805,13.7979749,14.050838,51.6115449,51.8396951
3222,13.9048905,51.8566755,13.827493,14.066596,51.7601251,51.901904
4349,12.4400854,51.3860452,12.4137251,12.476616,51.363855,51.4119231
4509,12.3029551,51.5233472,12.1488681,12.526459,51.4206869,51.610386
4519,12.3597817,51.4692784,12.2854509,12.4158448,51.415406,51.495846
4523,12.2513315,51.1775413,12.1733269,12.2958239,51.129761,51.259725
4539,12.3074017,51.1397388,12.219747,12.388047,51.090184,51.183374
4610,12.3730358,51.058484,12.2504139,12.4417181,51.015058,51.083979
4617,12.3549051,51.0180437,12.232199,12.507597,50.955764,51.084901
4626,12.3100885,50.8852891,12.2075751,12.410367,50.809462,50.9765549
4703,12.9217298,51.1681733,12.849179,13.0219749,51.127956,51.225129
4895,13.2279272,51.5923731,13.141428,13.335328,51.4480231,51.656009
4910,13.5104975,51.4633249,13.4449089,13.6039279,51.425841,51.515076
4936,13.4212133,51.7417083,13.2916751,13.5488129,51.65687,51.8199737
6179,11.8188107,51.4564641,11.696395,11.931894,51.390003,51.5189447
6279,11.6107713,51.4295844,11.524337,11.7198237,51.4041991,51.4607571
6295,11.6114453,51.5520026,11.451186,11.714055,51.4128229,51.601848
6308,11.4807018,51.570339,11.4107039,11.5922509,51.502918,51.623686
6317,11.6877173,51.4910585,11.551419,11.781087,51.422948,51.5706629
6333,11.4680169,51.662269,11.3398531,11.586593,51.606225,51.7346549
6347,11.6557504,51.6222314,11.55463,11.763659,51.5786561,51.663813
6366,11.9707612,51.7397951,11.933733,12.0189418,51.713335,51.7897641
6369,12.0183022,51.713486,11.8439041,12.1776319,51.6417779,51.881223
6386,12.073529,51.7719717,11.947143,12.19916,51.7007541,51.842597
6408,11.6739573,51.786047,11.639344,11.880361,51.7176569,51.8330631
6420,11.7662138,51.6751631,11.6035501,11.865609,51.618602,51.742045
6425,11.6429669,51.730332,11.581352,11.731099,51.6555341,51.7673229
6449,11.4729835,51.7793089,11.3082129,11.6243361,51.690102,51.910726
6484,11.1357179,51.8120745,11.0107,11.2554151,51.740913,51.860822
6528,11.2355362,51.4505828,11.142342,11.4694292,51.395148,51.567614
6542,11.4314384,51.3995419,11.3211058,11.5049639,51.33927,51.5365209
6547,NA,NA,NA,NA,NA,NA
6667,11.9452512,51.2095819,11.8402238,12.03711,51.096047,51.2770919
6712,12.1518572,51.0184289,12.0082151,12.2627741,50.9451278,51.0913246
6724,12.2513605,50.9893807,12.189647,12.2941219,50.9379689,51.0416079
6766,12.235267,51.6694163,12.1785,12.297786,51.6343069,51.7053001
6869,12.4305467,51.9381058,12.3053799,12.6041219,51.846912,52.0084561
6886,12.5926233,51.8669396,12.4805059,12.7332598,51.8270701,51.9195419
6896,NA,NA,NA,NA,NA,NA
7580,12.218692,50.8421949,12.134212,12.2899061,50.746266,50.941764
7751,11.5142304,50.8724533,11.4382858,11.725938,50.808005,50.989117
8233,12.313432,50.5371205,12.248466,12.366387,50.4993689,50.576578
9111,12.9239317,50.8365233,12.913408,12.9380171,50.8233391,50.8483561
9306,12.7905483,51.0447384,12.711088,12.987078,50.943669,51.10826
9322,12.6975126,50.938449,12.6151829,12.768537,50.901311,51.006813
9328,12.7485375,50.9698829,12.6912071,12.8097412,50.939819,50.9903059
9356,12.6236053,50.7932394,12.5841239,12.667266,50.765749,50.8249569
9385,12.75258,50.7578935,12.713006,12.793958,50.7275621,50.790013
9599,13.3291918,50.9093863,13.2661861,13.3989229,50.8750791,50.959695
9600,13.2636883,50.8957652,13.1986441,13.304099,50.872044,50.968469
9638,13.4115711,50.8362262,13.3254008,13.467636,50.801642,50.860732
9648,12.9761119,50.970958,12.8638039,13.120739,50.9442721,51.061359
9669,13.0685643,50.918104,12.987814,13.165908,50.8743249,50.9648441
14641,12.8120193,52.631423,12.6222961,13.018876,52.4997479,52.7253649
14669,12.8314751,52.5098925,12.73405,12.935858,52.450301,52.561699
14776,12.5608112,52.3877144,12.3959689,12.705297,52.312211,52.4595398
14789,12.3394926,52.3680851,12.2730109,12.4247341,52.302773,52.454358
14797,12.676828,52.3427055,12.4995171,12.8265808,52.237893,52.396592
14823,12.6586477,52.0425449,12.5362259,12.7814889,51.9814509,52.143441
14913,13.0987395,51.9506638,12.7697871,13.4209821,51.818752,52.095883
14959,13.1885029,52.2317821,13.079117,13.3295371,52.151252,52.263806
15306,14.3604171,52.494295,14.2194701,14.520881,52.402917,52.617361
15326,14.4659701,52.4267651,14.3140041,14.611526,52.371117,52.503229
15345,13.9108692,52.6251837,13.6686581,14.1265099,52.4659199,52.7151661
