Turbine identifier (GSRN),Date of original connection to grid,Capacity (kW),Rotor diameter (m),Hub height (m),Manufacture,Model,Local authority no,"Local authority
name",Type of location,Cadastral district,Cadastral no.,"X (east) coordinate
UTM 32 Euref89","Y (north) coordinate
UTM 32 Euref89",Origin of coordinates,Distribution company installation number
571313174000804817,12/18/14,10,7.1,21.4,Ukendt,Ukendt,306,Odsherred,Land,,,648438.63,6204436.7,SDFE2018,
571313174001563744,11/11/15,10,7.1,21.4,Ukendt,Ukendt,306,Odsherred,Land,,,,,Stamdata,
571313174001571824,12/11/15,10,7.1,21.4,Ukendt,Ukendt,306,Odsherred,Land,,,646514.319999999,6205313.08,SDFE2018,
571313174001596582,3/16/16,10,7.1,21.4,Ukendt,Ukendt,306,Odsherred,Land,,,655343.65,6189388.25999999,SDFE2018,
571313174001768668,9/26/18,10,9.3,20.3,KVA Vind,KVA Vind 10-10,306,Odsherred,Land,,,,,Stamdata,
570714700000000768,2/25/91,200,27,30,NEG Micon,NM 570-200,316,Holbæk,LAND,"Vinstrup By, Sdr. Asmindrup",3i,668977.91,6170339.83,SDFE2018,071-00492
570714700000000775,2/25/91,200,27,30,NEG Micon,NM 570-200,316,Holbæk,LAND,"Vinstrup By, Sdr. Asmindrup",3h,669052.51,6170343.70999999,SDFE2018,071-00492
570714700000000782,2/25/91,200,27,30,NEG Micon,NM 570-200,316,Holbæk,LAND,"Vinstrup By, Sdr. Asmindrup",3h,669128.329999999,6170346.2,SDFE2018,071-00492
570714700000000942,6/27/94,450,37,35,BONUS,150 - MK lll,316,Holbæk,LAND,"Svinninge By, Svinninge",15c,653387.199999999,6179145.67999999,SDFE2018,60421157
570714700000000959,6/27/94,450,37,35,BONUS,150 - MK lll,316,Holbæk,LAND,"Svinninge By, Svinninge",15c,653370.229999999,6179019.67999999,SDFE2018,60421157
570714700000000966,6/27/94,450,37,35,BONUS,150 - MK lll,316,Holbæk,LAND,"Svinninge By, Svinninge",15c,653353.39,6178896,SDFE2018,60421158
570714700000003165,4/22/99,550,41,35,Nordtank,NTK 55,316,Holbæk,LAND,"Gudmandstrup By, Svinninge",1d,653525.16,6175997.88999999,SDFE2018,030-00446
570714700000003172,4/22/99,550,41,35,Nordtank,NTK 55,316,Holbæk,LAND,"Gudmandstrup By, Svinninge",1e,653526.89,6175888.03,SDFE2018,030-00447
570714700000003189,4/22/99,550,41,35,Nordtank,NTK 55,316,Holbæk,LAND,"Gudmandstrup By, Svinninge",1f,653529.26,6175777.73,SDFE2018,030-00447
570714700000003226,8/12/99,2000,72,68,NEG Micon,NM 2000,316,Holbæk,LAND,"Lammefjorden, Hagested",1bx,661108.069999999,6183057.5,SDFE2018,026-00688
570714700000003325,10/14/99,600,44,35,BONUS,600 - MK lll C,316,Holbæk,LAND,"Sandby By, Kundby",15d,658115.31,6179003.61,SDFE2018,040-00921
570714700000003332,10/14/99,600,44,35,BONUS,600 - MK lll C,316,Holbæk,LAND,"Sandby By, Kundby",15e,658262.76,6178883.07,SDFE2018,040-00921
570714700000003523,6/7/00,2000,72,68,NEG Micon,NM 2000,316,Holbæk,LAND,"Lammefjorden, Hagested",1bv,661100.91,6182857.33,SDFE2018,026-00689
570714700000003530,6/5/00,2000,72,68,NEG Micon,NM 2000,316,Holbæk,LAND,"Lammefjorden, Hagested",1by,661593.089999999,6182639.91999999,SDFE2018,026-00693
570714700000003707,1/1/91,200,27,30,Micon,M 570,316,Holbæk,LAND,Bybjerg,25a,674268.489999999,6185007.17999999,SDFE2018,86-6712
570714700000003714,1/1/91,200,27,30,Micon,M 570,316,Holbæk,LAND,Bybjerg,25a,674311.17,6184927.54999999,SDFE2018,86-6712
570714700000003950,1/1/91,200,27,30,Micon,M 570,316,Holbæk,LAND,Bybjerg,24b,674353.42,6184848.03,SDFE2018,86-6714
570714700000003967,1/1/91,200,27,30,Micon,M 570,316,Holbæk,LAND,Bybjerg,24b,674394.699999999,6184768.66999999,SDFE2018,86-6714
570714700000003974,1/1/91,200,27,30,Micon,M 570,316,Holbæk,LAND,Bybjerg,24b,674439.03,6184688.69,SDFE2018,86-6714
570714700000005091,12/6/90,200,27,30,Micon,M 570,316,Holbæk,LAND,Bybjerg,25a,674225.839999999,6185087.04,SDFE2018,86-6710
570714700000005220,4/4/89,200,24,30,Ukendt,Ukendt,316,Holbæk,LAND,"Tingerup By, Soderup",4a,677491.479999999,6163417.78,SDFE2018,40028956
570714700000005237,4/4/89,200,24,30,Ukendt,Ukendt,316,Holbæk,LAND,"Tingerup By, Soderup",3f,677452.92,6163542.26999999,SDFE2018,40028956
