manufacturer,model,offshore,capacity,diameter,p_density
Acciona,Acciona.AW77.1500,no,1500,77,322.1216592
Alstom,Alstom.Eco.110,no,3000,110,315.679226
Alstom,Alstom.Eco.74,no,1670,74,388.2962089
Alstom,Alstom.Eco.80,no,1670,80,332.2359437
Bonus,Bonus.B23.150,no,150,23,361.032007
Bonus,Bonus.B33.300,no,300,33,350.7546955
Bonus,Bonus.B37.450,no,450,37,418.5228598
Bonus,Bonus.B41.600,no,600,41,454.4578982
Bonus,Bonus.B44.600,no,600,44,394.5990325
Bonus,Bonus.B54.1000,no,1000,54,436.6390757
Bonus,Bonus.B62.1300,no,1300,62,430.5960999
Bonus,Bonus.B82.2300,yes,2300,82,435.5221524
Dewind,Dewind.D4.41.500,no,500,41,378.7149152
Dewind,Dewind.D6.62.1000,no,1000,62,331.2277692
Enercon,Enercon.E101.3000,no,3000,101,374.4455087
Enercon,Enercon.E112.4500,yes,4500,112,456.7584464
Enercon,Enercon.E126.6000,no,6000,126,481.1940834
Enercon,Enercon.E126.7000,no,7000,126,561.3930973
Enercon,Enercon.E126.7500,no,7500,126,601.4926043
Enercon,Enercon.E40.500,no,500,40,397.8873577
Enercon,Enercon.E40.600,no,600,40,477.4648293
Enercon,Enercon.E44.900,no,900,44,591.8985487
Enercon,Enercon.E48.800,no,800,48,442.0970641
Enercon,Enercon.E53.800,no,800,53,362.6171719
Enercon,Enercon.E66.1500,no,1500,66,438.4433694
Enercon,Enercon.E66.1800,no,1800,66,526.1320433
Enercon,Enercon.E66.2000,no,2000,66,584.5911592
Enercon,Enercon.E70.2000,no,2000,70,519.6896101
Enercon,Enercon.E70.2300,no,2300,70,597.6430516
Enercon,Enercon.E82.1800,no,1800,82,340.8434236
Enercon,Enercon.E82.2000,no,2000,82,378.7149152
Enercon,Enercon.E82.2300,no,2300,82,435.5221524
Enercon,Enercon.E82.3000,no,3000,82,568.0723727
Enercon,Enercon.E92.2300,no,2300,92,345.9890067
Enercon,Enercon.E92.2350,no,2350,92,353.5105069
Enron,Enron.900S,no,900,55,378.8150712
EWT,EWT.DirectWind.52.900,no,900,52,423.7853514
Gamesa,Gamesa.G128.4500,no,4500,128,349.7056855
Gamesa,Gamesa.G128.5000,yes,5000,128,388.5618728
Gamesa,Gamesa.G47.660,no,660,47,380.4156177
Gamesa,Gamesa.G52.850,no,850,52,400.2417208
Gamesa,Gamesa.G58.850,no,850,58,321.716294
Gamesa,Gamesa.G80.2000,no,2000,80,397.8873577
Gamesa,Gamesa.G87.2000,yes,2000,87,336.4353401
Gamesa,Gamesa.G90.2000,no,2000,90,314.3801345
GE,GE.1.5s,yes,1500,70.5,384.2581997
GE,GE.1.5se,no,1500,70.5,384.2581997
GE,GE.1.5sl,no,1500,77,322.1216592
GE,GE.1.5sle,no,1500,77,322.1216592
GE,GE.1.5xle,no,1500,82.5,280.6037564
GE,GE.1.6,no,1600,100,203.7183272
GE,GE.1.7,no,1700,100,216.4507226
GE,GE.2.5xl,no,2500,100,318.3098862
GE,GE.2.75.103,no,2750,103,330.0413562
GE,GE.3.2.103,no,3200,103,384.0481236
GE,GE.3.2.130,no,3200,130,241.0867777
GE,GE.3.4.130,no,3400,130,256.1547013
GE,GE.3.8.130,no,3800,130,286.2905485
GE,GE.5.3.158,no,5300,158,270.3160386
GE,GE.5.5.158,no,5500,158,280.5166438
GE,GE.Haliade.150.6,yes,6000,150,339.5305453
GE,GE.Haliade.X.220.12,yes,12000,220,315.679226
Goldwind,Goldwind.GW109.2500,no,2500,109,267.9150629
Goldwind,Goldwind.GW121.2500,no,2500,121,217.4099352
Goldwind,Goldwind.GW140.3000,no,3000,140,194.8836038
Goldwind,Goldwind.GW140.3400,no,3400,140,220.8680843
Goldwind,Goldwind.GW154.6.7,yes,6700,154,359.7025194
Goldwind,Goldwind.GW82.1500,no,1500,82,284.0361864
