column,category,source_archive,source_file,license,doi,method,is_normalized_composite
2019COE_DW100_100kW_27.6,Distributed,NatLabRockies/turbine-models,Distributed/2019COE_DW100_100kW_27.6.csv,BSD-3-Clause,10.11578/dc.20210112.1,"cubic-spline + varying-sigma Gaussian (sigma=0.6+0.2w, sigma-form, renorm, +/-4sigma)",False
2019COE_DW20_20kW_12.4,Distributed,NatLabRockies/turbine-models,Distributed/2019COE_DW20_20kW_12.4.csv,BSD-3-Clause,10.11578/dc.20210112.1,"cubic-spline + varying-sigma Gaussian (sigma=0.6+0.2w, sigma-form, renorm, +/-4sigma)",False
BergeyExcel10_8.9kW_7,Distributed,NatLabRockies/turbine-models,Distributed/BergeyExcel10_8.9kW_7.csv,BSD-3-Clause,10.11578/dc.20210112.1,"cubic-spline + varying-sigma Gaussian (sigma=0.6+0.2w, sigma-form, renorm, +/-4sigma)",False
BergeyExcel15_15.6kW_9.6,Distributed,NatLabRockies/turbine-models,Distributed/BergeyExcel15_15.6kW_9.6.csv,BSD-3-Clause,10.11578/dc.20210112.1,"cubic-spline + varying-sigma Gaussian (sigma=0.6+0.2w, sigma-form, renorm, +/-4sigma)",False
Bestwind30_27.2kW_13.1,Distributed,NatLabRockies/turbine-models,Distributed/Bestwind30_27.2kW_13.1.csv,BSD-3-Clause,10.11578/dc.20210112.1,"cubic-spline + varying-sigma Gaussian (sigma=0.6+0.2w, sigma-form, renorm, +/-4sigma)",False
CF10A_10kW_11.15,Distributed,NatLabRockies/turbine-models,Distributed/CF10A_10kW_11.15.csv,BSD-3-Clause,10.11578/dc.20210112.1,"cubic-spline + varying-sigma Gaussian (sigma=0.6+0.2w, sigma-form, renorm, +/-4sigma)",False
CF11A_11kW_11.15,Distributed,NatLabRockies/turbine-models,Distributed/CF11A_11kW_11.15.csv,BSD-3-Clause,10.11578/dc.20210112.1,"cubic-spline + varying-sigma Gaussian (sigma=0.6+0.2w, sigma-form, renorm, +/-4sigma)",False
CF11_11kW_9.36,Distributed,NatLabRockies/turbine-models,Distributed/CF11_11kW_9.36.csv,BSD-3-Clause,10.11578/dc.20210112.1,"cubic-spline + varying-sigma Gaussian (sigma=0.6+0.2w, sigma-form, renorm, +/-4sigma)",False
CF15_15kW_11.15,Distributed,NatLabRockies/turbine-models,Distributed/CF15_15kW_11.15.csv,BSD-3-Clause,10.11578/dc.20210112.1,"cubic-spline + varying-sigma Gaussian (sigma=0.6+0.2w, sigma-form, renorm, +/-4sigma)",False
CF20_20kW_13.1,Distributed,NatLabRockies/turbine-models,Distributed/CF20_20kW_13.1.csv,BSD-3-Clause,10.11578/dc.20210112.1,"cubic-spline + varying-sigma Gaussian (sigma=0.6+0.2w, sigma-form, renorm, +/-4sigma)",False
EWT_DW52_900kW_51.5,Distributed,NatLabRockies/turbine-models,Distributed/EWT_DW52_900kW_51.5.csv,BSD-3-Clause,10.11578/dc.20210112.1,"cubic-spline + varying-sigma Gaussian (sigma=0.6+0.2w, sigma-form, renorm, +/-4sigma)",False
EWT_DW54X_1MW_54.1,Distributed,NatLabRockies/turbine-models,Distributed/EWT_DW54X_1MW_54.1.csv,BSD-3-Clause,10.11578/dc.20210112.1,"cubic-spline + varying-sigma Gaussian (sigma=0.6+0.2w, sigma-form, renorm, +/-4sigma)",False
EWT_DW54_900kW_54,Distributed,NatLabRockies/turbine-models,Distributed/EWT_DW54_900kW_54.csv,BSD-3-Clause,10.11578/dc.20210112.1,"cubic-spline + varying-sigma Gaussian (sigma=0.6+0.2w, sigma-form, renorm, +/-4sigma)",False
EWT_DW58_1MW_58,Distributed,NatLabRockies/turbine-models,Distributed/EWT_DW58_1MW_58.csv,BSD-3-Clause,10.11578/dc.20210112.1,"cubic-spline + varying-sigma Gaussian (sigma=0.6+0.2w, sigma-form, renorm, +/-4sigma)",False
EWT_DW61_1MW_60.9,Distributed,NatLabRockies/turbine-models,Distributed/EWT_DW61_1MW_60.9.csv,BSD-3-Clause,10.11578/dc.20210112.1,"cubic-spline + varying-sigma Gaussian (sigma=0.6+0.2w, sigma-form, renorm, +/-4sigma)",False
EntegrityEW50_50kW_15,Distributed,NatLabRockies/turbine-models,Distributed/EntegrityEW50_50kW_15.csv,BSD-3-Clause,10.11578/dc.20210112.1,"cubic-spline + varying-sigma Gaussian (sigma=0.6+0.2w, sigma-form, renorm, +/-4sigma)",False
FortisMontana_3.31kW_5.04,Distributed,NatLabRockies/turbine-models,Distributed/FortisMontana_3.31kW_5.04.csv,BSD-3-Clause,10.11578/dc.20210112.1,"cubic-spline + varying-sigma Gaussian (sigma=0.6+0.2w, sigma-form, renorm, +/-4sigma)",False
GhrepowerFD21-50_61.2kW_21.5,Distributed,NatLabRockies/turbine-models,Distributed/GhrepowerFD21-50_61.2kW_21.5.csv,BSD-3-Clause,10.11578/dc.20210112.1,"cubic-spline + varying-sigma Gaussian (sigma=0.6+0.2w, sigma-form, renorm, +/-4sigma)",False
Jacobs31-20_12kW_9.45,Distributed,NatLabRockies/turbine-models,Distributed/Jacobs31-20_12kW_9.45.csv,BSD-3-Clause,10.11578/dc.20210112.1,"cubic-spline + varying-sigma Gaussian (sigma=0.6+0.2w, sigma-form, renorm, +/-4sigma)",False
Kestrele400nb_2.5kW_4,Distributed,NatLabRockies/turbine-models,Distributed/Kestrele400nb_2.5kW_4.csv,BSD-3-Clause,10.11578/dc.20210112.1,"cubic-spline + varying-sigma Gaussian (sigma=0.6+0.2w, sigma-form, renorm, +/-4sigma)",False
NPS100B-21_100kW_20.7,Distributed,NatLabRockies/turbine-models,Distributed/NPS100B-21_100kW_20.7.csv,BSD-3-Clause,10.11578/dc.20210112.1,"cubic-spline + varying-sigma Gaussian (sigma=0.6+0.2w, sigma-form, renorm, +/-4sigma)",False
NPS100B-24C_95kW_24.4,Distributed,NatLabRockies/turbine-models,Distributed/NPS100B-24C_95kW_24.4.csv,BSD-3-Clause,10.11578/dc.20210112.1,"cubic-spline + varying-sigma Gaussian (sigma=0.6+0.2w, sigma-form, renorm, +/-4sigma)",False
NPS100B-24_95kW_23.6,Distributed,NatLabRockies/turbine-models,Distributed/NPS100B-24_95kW_23.6.csv,BSD-3-Clause,10.11578/dc.20210112.1,"cubic-spline + varying-sigma Gaussian (sigma=0.6+0.2w, sigma-form, renorm, +/-4sigma)",False
