cluster,scalar,offset,lon,lat,type,country,elevation,slope,aspect,roughness,curvature,distance_to_coast_km,nearby_mean_correction,nearby_correction_variance,turbine_density,era5_elevation_error,era5_roughness,subgrid_terrain_variance,latitude,longitude,abs_latitude,coastal_latitude
0.0,0.762717031338457,1.0410081176818673,-8.5,49.5,onshore,UK,-100.0,0.0,90.0,32.90515175598742,0.0,148.90126449336438,0.5787483346016697,0.0,1,100.53520163932127,5.0734670367091894e-05,0.0,49.5,-8.5,49.5,49.5
1.0,0.5787483346016697,1.660395766588753,-7.84375,49.5,onshore,UK,-100.0,0.0,90.0,32.90515175598742,0.0,111.89244873516428,0.785066842456358,0.02234981111790102,2,99.73934500122365,5.1807553973048925e-05,0.0,49.5,-7.84375,49.5,49.5
2.0,0.8074166535742591,0.666625946220309,-7.1875,49.5,onshore,UK,-100.0,0.0,90.0,32.90515175598742,0.0,68.363928191475,0.684116657564443,0.10536832296277321,2,99.61506708776697,2.5223882403224707e-05,0.0,49.5,-7.1875,49.5,49.5
3.0,0.7894849805272162,0.8874360894090693,-6.53125,49.5,onshore,UK,-100.0,0.0,90.0,32.90515175598742,0.0,33.59484892475422,0.7470401973242701,0.060376456249989,2,100.54197319229809,2.760806819424033e-05,0.0,49.5,-6.53125,49.5,49.5
4.0,0.6866637410742811,1.0545152173389885,-5.875,49.5,onshore,UK,-100.0,0.0,90.0,32.90515175598742,0.0,41.34744480964882,0.8844429556947581,0.0949579751675419,2,98.90923227159631,2.832332393154502e-05,0.0,49.5,-5.875,49.5,49.5
5.0,0.9794009308623,0.0514191862368604,-5.21875,49.5,onshore,UK,-100.0,0.0,90.0,32.90515175598742,0.0,32.91262960735364,0.6940448238216759,0.0073810827473947405,2,99.47326280189974,2.84425332210958e-05,0.0,49.5,-5.21875,49.5,49.5
6.0,0.7014259065690706,1.2054522560422538,-4.5625,49.5,onshore,UK,-93.45044933280914,0.32034718365207776,180.0,22.536090865564027,-6.208349601551686e-08,53.10438915834076,1.1954319712968404,0.21603104043454058,2,94.88905580456556,2.9038579668849707e-05,2.7096109458226025,49.5,-4.5625,49.5,49.5
7.0,1.4114630117313811,-1.2850400473198529,-3.90625,49.5,onshore,UK,-42.95643401729939,0.0,90.0,33.284008853841314,-9.311432657487665e-07,51.661195244874165,0.7168599633470729,0.015434056778002303,2,47.02160639076535,3.762164851650596e-05,21.789228429129256,49.5,-3.90625,49.5,49.5
8.0,0.7322940201250752,0.967678802749144,-3.25,49.5,onshore,UK,-100.0,0.15262408077688927,339.12760160744074,15.216450032819335,4.509704938174466e-07,41.52853696599614,1.5764579853209215,0.1649949735895404,2,98.97216788161604,6.050983211025596e-05,15.248106676837727,49.5,-3.25,49.5,49.5
9.0,1.741452958910462,-3.068675603165359,-2.59375,49.5,onshore,UK,-100.0,0.3111608396249581,170.87035394286687,31.005547063613648,2.1588442516958262e-07,0.9023914712457946,0.7127028354652867,0.01959118465978843,2,95.82937064708642,9.257713099941611e-05,34.593623302489235,49.5,-2.59375,49.5,49.5
10.0,0.6931116508054983,1.2618847348780502,-1.9375,49.5,onshore,UK,-100.0,0.2143703248277092,0.0,32.49828025430977,4.138905083036184e-07,4.379551477259792,1.3859775774175123,0.35547538149294966,2,118.4901735206467,0.03860421106219292,8.542103461289582,49.5,-1.9375,49.5,49.5
11.0,1.0305021959245626,-0.1294889815005082,-1.28125,49.5,onshore,UK,-58.737087666611956,0.29736966034300694,257.71120572187954,49.99699107552672,-4.203189424406479e-08,1.0040792151452376,0.7871656212060595,0.09405397040056118,2,80.81817589819461,0.24038107693195343,47.220289294687525,49.5,-1.28125,49.5,49.5
12.0,0.8812195916066207,0.4866243892495577,-0.625,49.5,onshore,UK,-21.253586093692263,0.24083939111954417,190.28185653122836,32.659987685961994,-4.1892183550167467e-07,10.477586909359816,0.948148570803629,0.08235362512093358,2,27.84175944098721,0.0769243910908699,38.860181195544584,49.5,-0.625,49.5,49.5
13.0,0.8657949456826954,0.5356013252370806,0.03125,49.5,onshore,UK,-100.0,0.4441536948736487,159.43119737956175,42.6820989689767,7.393771842153375e-07,3.563360375551915,0.948822081854898,0.06760249024827741,2,127.44933643560748,0.1498100310564041,39.97756188401893,49.5,0.03125,49.5,49.5
14.0,1.0164245721031755,0.0058704735067262,0.6875,49.5,onshore,UK,-29.40862582550756,0.1445142180679703,201.92598757657026,41.54734145427343,-4.996691213645817e-07,13.912515844019648,1.3750495937046392,0.5092546480219438,2,146.19864562393516,0.32689887285232544,43.94840187843006,49.5,0.6875,49.5,49.5
15.0,1.884304241726583,-3.86000212569514,1.34375,49.5,onshore,UK,-59.04111297583084,0.28582104629978217,165.43229258014367,47.04315216008977,4.3558969655806285e-07,35.18676670454984,0.9559516128598206,0.06047295924335494,2,191.77415676818094,0.3398166298866272,43.06294908309855,49.5,1.34375,49.5,49.5
16.0,0.8954786536164656,0.447557631381876,2.0,49.5,onshore,UK,-88.7661656887515,0.24361993456222056,15.083605240930467,51.518737749811685,1.0867704447370843e-06,54.72561606556514,1.884304241726583,0.0,1,233.40280296103614,0.2908340096473694,46.734779257387665,49.5,2.0,49.5,49.5
17.0,1.1431260802614285,-0.5859989942947034,-8.5,50.1764705882353,onshore,UK,-97.48153212954273,0.2785878135693551,0.0,9.332434906728873,-7.924200715507384e-07,101.16813392081916,1.5926763904942929,0.0,1,97.49373088306712,3.666797420009971e-05,0.0,50.1764705882353,-8.5,50.1764705882353,50.1764705882353
18.0,1.5926763904942929,-2.659738881175105,-7.84375,50.1764705882353,onshore,UK,-97.48153212954273,0.2785878135693551,0.0,9.332434906728873,-7.924200715507384e-07,108.03241162714482,0.9672087243283759,0.17591735593305258,2,97.27385457464375,2.7250440325587988e-05,0.0,50.1764705882353,-7.84375,50.1764705882353,50.1764705882353
19.0,0.7912913683953233,0.9148939028027402,-7.1875,50.1764705882353,onshore,UK,-97.48153212954273,0.2785878135693551,0.0,9.332434906728873,-7.924200715507384e-07,61.89284560536533,1.4061241837575864,0.18655220673670647,2,97.17984948625985,2.5343091692775488e-05,0.0,50.1764705882353,-7.1875,50.1764705882353,50.1764705882353
20.0,1.21957197702088,-0.9140334422084264,-6.53125,50.1764705882353,onshore,UK,-97.48153212954273,0.2785878135693551,0.0,9.332434906728873,-7.924200715507384e-07,20.014063975191874,0.8002446455363823,0.008953277141058924,2,97.50090076268962,2.570071956142783e-05,0.0,50.1764705882353,-6.53125,50.1764705882353,50.1764705882353
21.0,0.8091979226774412,0.7617361331777905,-5.875,50.1764705882353,onshore,UK,-97.48153212954273,0.2785878135693551,0.0,9.332434906728873,-7.924200715507384e-07,12.270229926706866,1.2388253888850733,0.01925341186419327,2,104.80262650491557,2.5343091692775488e-05,0.0,50.1764705882353,-5.875,50.1764705882353,50.1764705882353
22.0,1.2580788007492665,-1.1141908867857917,-5.21875,50.1764705882353,onshore,UK,-97.48153212954273,0.2785878135693551,0.0,9.332434906728873,-7.924200715507384e-07,8.419390147138794,0.8306114054961049,0.021413482818663676,2,130.1708555892614,0.09969121962785721,0.0,50.1764705882353,-5.21875,50.1764705882353,50.1764705882353
23.0,0.8520248883147685,0.6055364702939203,-4.5625,50.1764705882353,onshore,UK,-100.0,0.12789110656141542,0.0,16.264549869774775,0.0,10.685704126641989,1.1608457920112984,0.09723300873796813,2,138.3101107571138,0.06301350146532059,9.614857885818239,50.1764705882353,-4.5625,50.1764705882353,50.1764705882353
