Phase,Experiment,Scalar_R2,Offset_R2,Scalar_MAE,Offset_MAE
Random CV,Model: random_forest,0.3302690485244662,0.419480553002398,0.1364666828675375,0.4337212228601504
Random CV,Model: gradient_boosting,0.2695135490385829,0.3913591527424108,0.1412392193553705,0.4526246824735505
Random CV,Model: ridge,0.142727172014695,0.1845740915222086,0.1617839302662256,0.5439569504263021
Random CV,Model: lasso,0.0129734945046929,0.1645797561124411,0.1738937486396471,0.553257398536147
Random CV,Model: elastic_net,0.1065861279971038,0.1803072885651936,0.1652136808699617,0.5459187572131544
Random CV,Enhanced features (13 features),0.327,0.4139,0.136,0.4349
Random CV,Terrain-only (no spatial),0.1574,0.1862,0.1666,0.5607
Spatial CV,Germany + spatial,-0.2086,-0.132,,
Spatial CV,Germany terrain-only,0.0053,-0.253,,
Spatial CV,UK + spatial,-0.1006,-0.4152,,
Spatial CV,UK terrain-only,-0.2089,-0.031,,
Spatial CV,Denmark + spatial (NEW),-1.8839,-2.3861,,
Spatial CV,Denmark terrain-only (NEW),-0.1215,-0.4295,,
