mode,value,method,fold,n_test,mae,rmse
onshore,scalar,nearest,0,4564,0.14347950042183646,0.42040246554945093
onshore,scalar,nearest,1,12246,0.14822881381068687,0.24168603191665786
onshore,scalar,nearest,2,4994,0.15869848282000526,0.27558347935987887
onshore,scalar,nearest,3,9014,0.1379714577669892,0.23994411355066889
onshore,scalar,nearest,4,6875,0.1463947079477794,0.2714764379160971
onshore,scalar,idw,0,4564,0.13266510113360755,0.40073304724847375
onshore,scalar,idw,1,12246,0.14796689121708206,0.23668370636436473
onshore,scalar,idw,2,4994,0.1480137047525222,0.25910715185536487
onshore,scalar,idw,3,9014,0.1363238805084349,0.23289122631862158
onshore,scalar,idw,4,6875,0.14271961996785876,0.2683710029391242
onshore,scalar,ok,0,4564,0.16738106786429793,0.4125683523030284
onshore,scalar,ok,1,12246,0.14937122131257044,0.2393313775433028
onshore,scalar,ok,2,4994,0.1392296063266606,0.2385220414217862
onshore,scalar,ok,3,9014,0.1431052045568189,0.23385497494690272
onshore,scalar,ok,4,6875,0.142798843785712,0.253559681190692
onshore,scalar,rbf,0,4564,0.12160898692882786,0.418925900034433
onshore,scalar,rbf,1,12246,0.34930329937046417,0.578367234297644
onshore,scalar,rbf,2,4994,0.17978645750238836,0.3040506494246058
onshore,scalar,rbf,3,9014,0.36540767143374225,0.5867859304178401
onshore,scalar,rbf,4,6875,0.2016989324853294,0.3365738842857023
onshore,offset,nearest,0,4564,0.14069422569484735,0.4021491811847133
onshore,offset,nearest,1,12246,0.5216585898454253,0.910325274454662
onshore,offset,nearest,2,4994,0.44961319166868025,0.7886932582053406
onshore,offset,nearest,3,9014,0.39568812175215196,0.7694747460547942
onshore,offset,nearest,4,6875,0.519374369186819,1.0276121055261553
onshore,offset,idw,0,4564,0.12676249173716694,0.35607809089948855
onshore,offset,idw,1,12246,0.518499559683495,0.8958275533959859
onshore,offset,idw,2,4994,0.4437938646154749,0.7799156277155312
onshore,offset,idw,3,9014,0.3763891736797497,0.7083905059416722
onshore,offset,idw,4,6875,0.5107169385627132,1.0204880083122014
onshore,offset,ok,0,4564,0.19587854290022175,0.5001629250772959
onshore,offset,ok,1,12246,0.4771193920323899,0.8434544963149561
onshore,offset,ok,2,4994,0.3921568851425286,0.6963607466909931
onshore,offset,ok,3,9014,0.4038416526415551,0.7430877523298026
onshore,offset,ok,4,6875,0.38881163704999,0.7636054016405013
onshore,offset,rbf,0,4564,0.5712452772045397,1.386121705712633
onshore,offset,rbf,1,12246,0.9514329560707003,1.6248475511533795
onshore,offset,rbf,2,4994,0.5748587975498096,1.09814731812968
onshore,offset,rbf,3,9014,1.1157472247018887,2.1249547849490273
onshore,offset,rbf,4,6875,0.9180503764340366,2.0529062063879184
offshore,scalar,nearest,0,255,0.03540998163103142,0.057535175543167096
offshore,scalar,nearest,1,502,0.21080149629343262,0.35640448524101526
offshore,scalar,nearest,2,1436,0.31586640134921545,0.43135541460128407
offshore,scalar,nearest,3,431,0.23630037421916747,0.3951627169705618
offshore,scalar,nearest,4,499,0.5901131992797779,0.6511439297257636
offshore,scalar,idw,0,255,0.01907379348445575,0.029314073618399956
offshore,scalar,idw,1,502,0.20354781517799247,0.3545987356808736
offshore,scalar,idw,2,1436,0.31586640134921545,0.43135541460128407
offshore,scalar,idw,3,431,0.2382235315234174,0.39526464199348615
offshore,scalar,idw,4,499,0.5918734765189562,0.6513962671625184
offshore,scalar,ok,0,255,0.02085934073210524,0.030836450650548693
offshore,scalar,ok,1,502,0.1422363202997105,0.17420600941227665
offshore,scalar,ok,2,1436,0.3251669772359262,0.43294033974935986
offshore,scalar,ok,3,431,0.1908397305719713,0.3801715137591078
offshore,scalar,ok,4,499,0.41512558716308096,0.5057439176851397
offshore,scalar,rbf,0,255,0.32736134864382216,0.4845513229999087
offshore,scalar,rbf,1,502,0.24835746896072855,0.357862701686694
offshore,scalar,rbf,2,1436,0.3853983303171255,0.5037321161541151
offshore,scalar,rbf,3,431,0.5288902073754961,0.6147638265628069
offshore,scalar,rbf,4,499,0.858512859039387,0.9191728035777982
offshore,offset,nearest,0,255,0.06392191266257088,0.11404615609082108
offshore,offset,nearest,1,502,0.2164114696686253,0.3235191276409103
offshore,offset,nearest,2,1436,0.6615586844941005,0.8844345669474981
offshore,offset,nearest,3,431,0.653812026383606,1.0015340713075638
offshore,offset,nearest,4,499,1.7437991326382156,1.815390280791917
offshore,offset,idw,0,255,0.03401565336624697,0.07209317075354275
offshore,offset,idw,1,502,0.20310243161647681,0.3177645581260141
offshore,offset,idw,2,1436,0.6615586844941005,0.8844345669474981
offshore,offset,idw,3,431,0.6826850585392918,1.003317155389016
offshore,offset,idw,4,499,1.7518868540810477,1.8173253438596626
offshore,offset,ok,0,255,0.036654402531013645,0.07541014589246331
offshore,offset,ok,1,502,0.11573218030688164,0.15211955594001553
offshore,offset,ok,2,1436,0.5893576849364244,0.7967106417548117
offshore,offset,ok,3,431,0.4927964708395005,0.9081148977699305
offshore,offset,ok,4,499,1.1966663440689171,1.384443279886939
offshore,offset,rbf,0,255,0.27058048212085567,0.39348573904844497
offshore,offset,rbf,1,502,0.8060033928383428,0.9419955623794928
offshore,offset,rbf,2,1436,0.9275107528808585,1.2817000579920874
offshore,offset,rbf,3,431,1.6845715106576729,1.9508483457521417
offshore,offset,rbf,4,499,1.4656056023319346,1.746830652458955
