mode,value,method,mae,rmse
offshore,offset,ok,0.48624141653654745,0.6633597042488321
offshore,offset,idw,0.6666497364194328,0.8189869590151467
offshore,offset,nearest,0.6679006451694237,0.8277848405557421
offshore,offset,rbf,1.0308543481659327,1.2629720715262245
offshore,scalar,ok,0.21884559120055883,0.3047796462512865
offshore,scalar,idw,0.2737170036108075,0.3723858266113124
offshore,scalar,nearest,0.277698290554525,0.37832034441635837
offshore,scalar,rbf,0.4697040428673119,0.5760165541962646
onshore,offset,ok,0.3715616219533371,0.7093342644107098
onshore,offset,idw,0.39523240565571993,0.7521399572529759
onshore,offset,nearest,0.4054056996295848,0.7796509130851331
onshore,offset,rbf,0.826266926392195,1.6573955132665277
onshore,scalar,ok,0.14837718876921197,0.2755672854811424
onshore,scalar,idw,0.1415378395159011,0.2795572269451898
onshore,scalar,nearest,0.14695459255345944,0.2898185056585508
onshore,scalar,rbf,0.2435610695441504,0.4449407196920451
