manufacturer,model,offshore,capacity,diameter,p_density
Unknown,2019COE_DW100_100kW_27.6,no,100,27.6,167.1444476915515
Unknown,2019COE_DW20_20kW_12.4,no,20,12.4,165.61388459094206
BergeyExcel,BergeyExcel10_8.9kW_7,no,9,7.0,231.26187649271324
BergeyExcel,BergeyExcel15_15.6kW_9.6,no,16,9.6,215.52231877027492
Bestwind,Bestwind30_27.2kW_13.1,no,27,13.1,201.80709525550043
CF,CF10A_10kW_11.15,no,10,11.15,102.41424880734884
CF,CF11A_11kW_11.15,no,11,11.15,112.65567368808372
CF,CF11_11kW_9.36,no,11,9.36,159.86415863200827
CF,CF15_15kW_11.15,no,15,11.15,153.62137321102327
CF,CF20_20kW_13.1,no,20,13.1,148.38757004080915
EWT,EWT_DW52_900kW_51.5,no,900,51.5,432.05413903728777
EWT,EWT_DW54X_1MW_54.1,no,1000,54.1,435.026375041483
EWT,EWT_DW54_900kW_54,no,900,54.0,392.97516812813666
EWT,EWT_DW58_1MW_58,no,1000,58.0,378.4897576501673
EWT,EWT_DW61_1MW_60.9,no,1000,60.9,343.30136748314493
EntegrityEW,EntegrityEW50_50kW_15,no,50,15.0,282.9421210522584
FortisMontana,FortisMontana_3.31kW_5.04,no,3,5.04,165.91171001328217
GhrepowerFD,GhrepowerFD21-50_61.2kW_21.5,no,61,21.5,168.5716822883547
Jacobs,Jacobs31-20_12kW_9.45,no,12,9.45,171.0912296612296
Kestrele,Kestrele400nb_2.5kW_4,no,2,4.0,198.94367886486918
NPS,NPS100B-21_100kW_20.7,no,100,20.7,297.1456847849805
NPS,NPS100B-24C_95kW_24.4,no,95,24.4,203.16742265157296
NPS,NPS100B-24_95kW_23.6,no,95,23.6,217.17494389155496
NPS,NPS100C-21_100kW_20.7,no,100,20.7,297.1456847849805
NPS,NPS100C-24_95kW_24.4,no,95,24.4,203.16742265157296
NPS,NPS100C-27_90kW_27.4,no,90,27.4,152.6340761710329
NPS,NPS100C-28_90kW_27.6,no,90,27.6,150.43000292239634
NPS,NPS100C-28_90kW_28,no,90,28.0,146.16270283949572
NPS,NPS60C-24_60kW_24.4,no,60,24.4,128.31626693783556
PikaT,PikaT701_1.5kW_3,no,2,3.0,212.2065907891938
SD,SD6_5.2kW_5.5,no,5,5.5,218.87093000406102
SWIFT,SWIFT_1kW_2.1,no,1,2.1,288.7164500533249
Skystream,Skystream3.7_2.1kW_3.7,no,2,3.7,195.3106679286955
VestasV,VestasV27_225kW_27,no,225,27.0,392.97516812813666
VestasV,VestasV29_225kW_29,no,225,29.0,340.64078188515055
Unknown,2016CACost_NREL_Reference_10MW_205,yes,10000,205.0,302.9719321202053
Unknown,2016CACost_NREL_Reference_6MW_155,yes,6000,155.0,317.9786584146088
Unknown,2016CACost_NREL_Reference_8MW_180,yes,8000,180.0,314.38013450250935
Unknown,2019ORCost_NREL_Reference_12MW_222,yes,12000,222.0,310.01693322015166
Unknown,2019ORCost_NREL_Reference_15MW_248,yes,15000,248.0,310.5260336080164
Unknown,2020ATB_NREL_Reference_12MW_214,yes,12000,214.0,333.62901862219303
Unknown,2020ATB_NREL_Reference_15MW_240,yes,15000,240.0,331.5727981081153
Unknown,2020ATB_NREL_Reference_18MW_263,yes,18000,263.0,331.33790867632797
DTU,DTU_Reference_v1_10MW_178,yes,10000,178.0,401.8556825953676
IEA,IEA_Reference_10MW_198,yes,10000,198.0,324.77286622160057
IEA,IEA_Reference_15MW_240,yes,15000,240.0,331.5727981081153
LEANWIND,LEANWIND_Reference_8MW_164,yes,8000,164.0,378.7149151502566
NREL,NREL_Reference_5MW_126,yes,5000,126.0,400.9950695185068
Unknown,2017COE_Market_Average_2.3MW_113,no,2300,113.0,229.34066511793205
Unknown,2018COE_Market_Average_2.4MW_116,no,2400,116.0,227.09385459010036
Unknown,2019COE_Market_Average_2.6MW_121,no,2600,121.0,226.10633264882338
Unknown,2020ATB_NREL_Reference_4MW_150,no,4000,150.0,226.35369684180668
Unknown,2020ATB_NREL_Reference_5.5MW_175,no,5500,175.0,228.6634284422333
Unknown,2020ATB_NREL_Reference_7MW_200,no,7000,200.0,222.81692032865348
Unknown,2023NREL_Bespoke_3.3MW_148,no,3300,148.0,191.8229774299688
Unknown,2023NREL_Bespoke_3MW_127.5,no,3000,127.5,234.9692354759239
Unknown,2023NREL_Bespoke_6MW_170,no,6000,170.0,264.34038991041444
Unknown,2023NREL_Bespoke_6MW_196,no,6000,196.0,198.8608201897901
Unknown,2023NREL_Bespoke_8.3MW_196,no,8300,196.0,275.090801262543
BAR,BAR_BAU-LBNL-IEA_3.3MW_156,no,3300,156.0,172.65329132256892
BAR,BAR_BAU_LowSP_3.25MW_166,no,3250,166.0,150.16796778884014
BAR,BAR_BAUa_5.0MW_167.4,no,5000,167.4,227.17953990527036
BAR,BAR_HighSP_5.0MW_134.9,no,5000,134.9,349.8293342885191
BAR,BAR_LowSP_4.5MW_194,no,4500,194.0,152.23663384281625
BAR,BAR_LowSP_6.5MW_234,no,6500,234.0,151.14429543389872
DOE,DOE_GE_1.5MW_77,no,1500,77.0,322.1216591504038
IEA,IEA_Reference_3.4MW_130,no,3400,130.0,256.15470130766585
VestasV,VestasV47_660kW_47,no,660,47.0,380.4156177117281
VestasV,VestasV82_1.65MW_82,no,1650,82.0,312.43980499896173
