data$speed,Synthetic.Onshore850,Synthetic.Onshore2000,Synthetic.Onshore3600,Synthetic.Offshore5000,Synthetic.Offshore8000
0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0
2.5,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0
3.5,0.0044,0.0056,0.0072,0.0,0.0
4.0,0.0114,0.0147,0.0187,0.0056,0.0056
4.5,0.0229,0.0293,0.0373,0.0147,0.0147
5.0,0.0413,0.0524,0.0663,0.0293,0.0293
5.5,0.0701,0.0883,0.1106,0.0524,0.0524
6.0,0.114,0.1419,0.1753,0.0883,0.0883
6.5,0.1781,0.2179,0.2638,0.1419,0.1419
7.0,0.2658,0.3177,0.3748,0.2179,0.2179
7.5,0.3759,0.4367,0.5,0.3177,0.3177
8.0,0.5,0.5633,0.6252,0.4367,0.4367
8.5,0.6241,0.6823,0.7362,0.5633,0.5633
9.0,0.7342,0.7821,0.8247,0.6823,0.6823
9.5,0.8219,0.8581,0.8894,0.7821,0.7821
10.0,0.886,0.9117,0.9337,0.8581,0.8581
10.5,0.9299,0.9476,0.9627,0.9117,0.9117
11.0,0.9587,0.9707,0.9813,0.9476,0.9476
11.5,0.9771,0.9853,0.9928,0.9707,0.9707
12.0,0.9886,0.9944,1.0,0.9853,0.9853
12.5,0.9956,1.0,1.0,0.9944,0.9944
13.0,1.0,1.0,1.0,1.0,1.0
13.5,1.0,1.0,1.0,1.0,1.0
14.0,1.0,1.0,1.0,1.0,1.0
14.5,1.0,1.0,1.0,1.0,1.0
15.0,1.0,1.0,1.0,1.0,1.0
15.5,1.0,1.0,1.0,1.0,1.0
16.0,1.0,1.0,1.0,1.0,1.0
16.5,1.0,1.0,1.0,1.0,1.0
17.0,1.0,1.0,1.0,1.0,1.0
17.5,1.0,1.0,1.0,1.0,1.0
18.0,1.0,1.0,1.0,1.0,1.0
18.5,1.0,1.0,1.0,1.0,1.0
19.0,1.0,1.0,1.0,1.0,1.0
19.5,1.0,1.0,1.0,1.0,1.0
20.0,1.0,1.0,1.0,1.0,1.0
20.5,1.0,1.0,1.0,1.0,1.0
21.0,1.0,1.0,1.0,1.0,1.0
21.5,1.0,1.0,1.0,1.0,1.0
22.0,1.0,1.0,1.0,1.0,1.0
22.5,1.0,1.0,1.0,1.0,1.0
23.0,1.0,1.0,1.0,1.0,1.0
23.5,1.0,1.0,1.0,1.0,1.0
24.0,1.0,1.0,1.0,1.0,1.0
24.5,1.0,1.0,1.0,1.0,1.0
25.0,1.0,1.0,1.0,1.0,1.0
25.5,0.0,0.0,0.0,0.0,0.0
26.0,0.0,0.0,0.0,0.0,0.0
26.5,0.0,0.0,0.0,0.0,0.0
27.0,0.0,0.0,0.0,0.0,0.0
27.5,0.0,0.0,0.0,0.0,0.0
28.0,0.0,0.0,0.0,0.0,0.0
28.5,0.0,0.0,0.0,0.0,0.0
29.0,0.0,0.0,0.0,0.0,0.0
29.5,0.0,0.0,0.0,0.0,0.0
30.0,0.0,0.0,0.0,0.0,0.0
